Column1;Column2;Column3;Column4;Column5;Column6;Column7; Column8 ;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31
continent;sub contient;country;Predom. Religion;SOGI-LI;DEMOC.;HAPPINESS; Per capita GDP ;% with tertiary educ.;GRI;Religiosity;SHI;legality of sam-sex sexual-activity;marriage/ civil unions;same-sex coupleadoptions;serving in the military;antidiscrimination laws; gender ID markers;Democracy Status;electoral process and pluralism;funct. Of gov;polit. Particpation;political culture;civil liberties;Satisfaction with GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
africa;1. SE.Africa;Rwanda;C;1,67;3,35;3,408;$772,97 ;0,53;3,7;95%;2,4;1;0;0;0;0;0;A;1,67;5;2,78;4,38;3,82;0,796;1,335;0,527;0,541;0,364;0,171
europe;17. E. Europe;Russia;C;0,14;2,94;5,81;$11.288,87 ;24,74;8,1;34%;6,3;0,25;0;0;0;0;0,5;A;2,17;1,79;5;3,13;1,47;1,059;0,771;0,691;0,459;0,282;0,129
europe;17. E. Europe;Romania;C;4,89;6,38;5,945;$12.301,19 ;6,61;4,8;84%;3,7;1;0,33;0;0,5;0,6;0,5;F;9,17;5,71;5;4,38;0;0,689;0,382;0,539;0,088;0,376;0,144
asia;8. W. Asia;Qatar;M;0,56;3,19;6,374;$69.026,47 ;10,05;5,6;95%;2,6;0;0,33;0;0;0;0;A;0;4,29;2,22;;;;;;;;
europe;18. S. Europe;Portugal;C;9,17;7,84;5,41;$23.145,73 ;3,26;1;72%;0,3;1;1;1;0,5;1;1;F;9,58;7,5;6,11;;;;;;;;
europe;19. C. Europe;Poland;C;3,67;6,67;6,123;$15.424,05 ;11,37;2,9;75%;2,2;1;0;0;0,5;0,2;0,5;F;9,17;6,07;6,11;;;1,223;1,492;0,564;0,575;0,171;0,019
asia;10. SE. Asia;Philippines;C;5,67;6,71;5,524;$3.102,71 ;5,48;1;96%;4;1;0,5;0,5;1;0,4;0;F;9,17;5,71;7,22;5,63;5;0,314;1,097;0,254;0,312;0,175;0,128
america;15. S. America;Peru;C;5,56;6,6;5,663;$6.947,26 ;12,27;2;84%;0,3;1;0,33;0;0,5;1;0,5;F;9,17;5;5,56;4,38;2,94;0,332;0,896;0,4;0,636;0,2;0,444
america;15. S. America;Paraguay;C;2,5;6,24;5,681;$5.871,47 ;3,88;1,9;92%;1,5;1;0;0;0,5;0;0;F;8,75;5,71;5;1,88;2,35;0,024;0;0,01;0,305;0,218;0,038
oceana;melanesia;Papua New Guinea;C;0,97;6,03;;$2.722,60 ;0,54;1,4;;2,4;0,25;0,33;0;0;0;0;F;6,92;6,07;3,89;3,13;0,88;;;;;;
america;14. C. America;Panama;C;3,89;7,05;6,43;$15.575,07 ;14,37;2,6;88%;0;1;0,33;0;0,5;0;0,5;F;9,58;6,07;6,67;5,63;3,24;0,549;1,088;0,457;0,696;0,256;0,065
oceana; micronesia;Palau;C;1,67;;;$17.317,87 ;;0,4;;0;1;0;0;0;0;0;;;;;2,5;5,59;0,816;0,99;0,666;0,26;0,077;0,028
asia;11. S. Asia;Pakistan;M;3,06;4,17;5,472;$1.472,89 ;4,43;6,6;92%;7,7;0,5;0,33;0;0;0;1;H;6,08;5,36;2,22;;;;;;;;
asia;8. W. Asia;Oman;M;0,97;3,04;;$16.418,93 ;;5,4;;0,4;0,25;0,33;0;0;0;0;A;0;3,93;2,78;;;;;;;;
europe;20. N. Europe;Norway;C;10;9,87;7,594;$81.807,20 ; ;2,9;21%;2,6;1;1;1;1;1;1;D;10;9,64;10;4,38;5;0,532;0,85;0,579;0,58;0,153;0,144
africa;4. W.Africa;Nigeria;x;0,56;4,44;5,155;$2.028,18 ;;4,9;96%;8,1;0;0,33;0;0;0;0;H;6,08;4,64;3,33;5,63;4,71;0,965;1,179;0,785;0,503;0,214;0,136
africa;4. W.Africa;Niger;M;2,22;3,76;4,166;$411,69 ;0,51;3,7;100%;3,1;1;0,33;0;0;0;0;A;5,25;1,14;3,33;3,75;3,82;;;;;;
america;14. C. America;Nicaragua;C;3,22;3,63;6,141;$2.028,90 ;10,33;1,7;84%;0,3;1;0,33;0;0;0,6;0;A;2,67;1,86;3,89;6,88;8,82;;;;;;
oceana;22. Oceana;New Zealand;C;9,17;9,26;7,324;$41.966,01 ;15,5;0,3;33%;0,4;1;1;1;1;1;0,5;D;10;9,29;8,89;5,63;5,88;0,378;0,372;0,24;0,44;0,163;0,067
europe;21. W. Europe;Netherlands;C;9,17;8,89;7,441;$52.978,44 ;15,63;2,6;33%;2,8;1;1;1;1;1;0,5;D;9,58;9,29;8,33;5,63;6,18;0,37;1,233;0,152;0,367;0,139;0,056
asia;11. S. Asia;Nepal H;H;4,22;5,18;4,88;$1.025,80 ;1,75;4,6;93%;4,7;0,5;0,33;0;0,5;0,2;1;H;4,33;5,36;5;4,38;4,71;0,131;0,867;0,221;0,39;0,175;0,099
oceana;micronesia;Nauru;C;2,22;;;$9.030,07 ;;1,5;;0;1;0,33;0;0;0;0;;;;;5;3,82;1,036;1,164;0,404;0,356;0,032;0,052
africa;6. S.Africa;Namibia;C;2,64;6,25;4,441;$5.931,45 ;0,76;0,9;92%;0;0,75;0,33;0;0;0;0,5;F;5,67;5,36;6,67;5,63;2,65;;;;;;
asia;10. SE. Asia;Myanmar;B;0,97;3,83;4,308;$1.325,95 ;5,15;;97%;;0,25;0,33;0;0;0;0;A;3,67;3,93;3,89;4,38;1,47;;;;;;
africa;6. S.Africa;Mozambique;C;2,56;3,85;4,417;$490,17 ;0,26;1,4;86%;2,5;1;0,33;0;0;0,2;0;A;3,58;2,14;5;;;;;;;;
africa;3. N.Africa;Morocco;M;0,97;4,99;5,254;$3.237,88 ;5,35;7;97%;3;0,25;0,33;0;0;0;0;H;5,25;4,64;5;5,63;7,35;;;;;;
europe;18. S. Europe;Montenegro;M;5;5,74;5,347;$8.760,69 ;;2,2;71%;1,1;1;0;0;0,5;1;0,5;H;6,08;5,36;6,11;5,63;5,59;0,899;1,215;0,522;0,538;0,484;0,018
asia;12. E. Asia;Mongolia;x;5,06;6,5;5,125;$4.103,70 ;19,66;3,1;;0,3;1;0,33;0;0,5;0,2;1;F;9,17;5,71;5,56;5,63;4,71;0,262;0,908;0,402;0,221;0,155;0,049
europe;17. E. Europe;Moldova;C;3,67;5,85;5,64;$3.189,36 ;8,76;4,4;72%;4,5;1;0;0;0,5;0,2;0,5;H;7,08;4,64;6,11;5;3,82;1,01;0,971;0,536;0,304;0,148;0,095
america;16. N. America;Mexico;C;8,42;6,19;6,488;$9.698,08 ;9,81;4,1;73%;5,6;1;1;1;1;0,8;0,25;F;8,33;6,07;7,22;4,38;2,35;1,338;1,366;0,698;0,594;0,243;0,123
africa;4. W.Africa;Mauritania;M;1,39;8,22;4,356;$1.218,60 ;;6,7;98%;2,1;0,1;0,33;0;0;0,4;0;D;9,17;8,21;5,56;5;1,47;0,72;1,034;0,441;0,626;0,23;0,174
america;7. Caribbean;Martinique;C;6,17;3,82;;;1,88;;;;1;1;0,5;0,5;0,2;0,5;A;3;3,57;5;;;;;;;;
oceana;micronesia;Marshall Islands;C;2,22;;;$3.621,17 ;0,97;0,6;;0,1;1;0,33;0;0;0;0;;;;;3,75;3,53;1,024;1,161;0,603;0,43;0,031;0,176
europe;18. S. Europe;Malta;C;8,33;8,21;6,627;$30.074,74 ;10,52;2,1;86%;0,8;1;1;1;0,5;1;0,5;D;9,17;8,21;6,11;;;;;;;;
